,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
517,6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,227360,79,0.658,0.0265,0.535,0.0,0.2,-8.983,0.0573,110.684,4
518,2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,350120,69,0.487,0.0538,0.729,4.07e-06,0.44,-6.815,0.271,91.048,4
519,0y9uTzK9cNKSAEHnpeRG8C,DUCKWORTH.,DAMN.,Kendrick Lamar,2017-04-14,248613,73,0.552,0.0536,0.731,0.0,0.258,-6.873,0.615,174.516,4
520,66mVPWmFvXPFf8pjK5ttOW,Worldwide Steppers,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,203367,68,0.514,0.753,0.472,0.00012,0.0746,-11.106,0.368,77.215,3
521,0zO8ctW0UiuOefR87OeJOZ,Collard Greens,Oxymoron (Deluxe),ScHoolboy Q,2014-01-01,299960,78,0.825,0.025,0.575,9.94e-06,0.205,-4.87,0.0633,153.954,4
522,439TlnnznSiBbQbgXiBqAd,m.A.A.d city,"good kid, m.A.A.d city",Kendrick Lamar,2012,350120,70,0.487,0.0538,0.729,4.07e-06,0.44,-6.815,0.271,91.048,4
523,1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,202285,79,0.852,0.428,0.421,2.28e-06,0.106,-9.153,0.208,95.977,4
524,4zMxWSP2qZUy5CBCH5PdzZ,Crown,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,264299,65,0.355,0.801,0.245,9.11e-05,0.112,-13.475,0.0358,173.329,4
525,6BU1RZexmvJcBjgagVVt3M,Count Me Out,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,283642,77,0.776,0.671,0.431,0.0,0.153,-7.544,0.091,133.999,4
526,5p3NP9mQblDsVJLdfNZJ3I,GOD.,DAMN.,Kendrick Lamar,2017-04-14,248826,64,0.706,0.0347,0.557,0.0,0.276,-5.8,0.0813,132.98,4
527,2g6tReTlM2Akp41g0HaeXN,Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,239026,80,0.775,0.319,0.736,0.00116,0.127,-8.072,0.247,100.988,4
528,712uvW1Vezq8WpQi38v2L9,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,310720,70,0.587,0.0152,0.698,0.0,0.442,-8.948,0.0943,133.954,4
529,7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),family ties (with Kendrick Lamar),Baby Keem,2021-08-27,252069,78,0.711,0.00575,0.611,0.0,0.231,-5.453,0.329,134.14,4
530,3I0FBDc1c1BLNtXWKVjmFg,untitled 02 | 06.23.2014.,untitled unmastered.,Kendrick Lamar,2016-03-04,258826,67,0.667,0.341,0.508,0.0,0.644,-10.337,0.451,89.436,3
531,23luOrEVHMfoX0AhfbQuS6,FEAR.,DAMN.,Kendrick Lamar,2017-04-14,460573,69,0.588,0.604,0.479,7.2e-06,0.527,-7.039,0.281,150.414,4
532,5qbhVL3vB7HwWvb0042B7y,The Heart Part 5,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,332228,64,0.7,0.183,0.812,0.0,0.0756,-8.128,0.297,97.405,4
533,3aGibUHhQyBsyumYHylw0K,Backseat Freestyle,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,212653,70,0.546,0.000739,0.651,0.0,0.235,-7.601,0.3,77.878,4
534,5G4uLkFKdEZLcuNyeomQmE,Savior - Interlude,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,152985,64,0.618,0.807,0.43,0.0,0.189,-9.38,0.216,117.125,4
535,5ujh1I7NZH5agbwf7Hp8Hc,Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012,313786,72,0.716,0.123,0.485,2.69e-05,0.604,-7.745,0.404,74.132,4
536,0N3W5peJUQtI4eyR6GJT5O,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,76,0.884,0.00589,0.657,0.0,0.154,-4.569,0.0977,107.059,4
